prompt,summary,action,method,relation,clazz,subject,node,property
Select the insured person who are female and have a date of birth after 2000,The classes of the nodes are: InsuredPerson SalesPerson PolicyHolder Claims Hospital Doctor InjuryType   The list of relationships are: SOLD_INSURANCE_TO PURCHASE_POLICY_FOR DIAGNOSED_BY WORKS_FOR HAS_AN_INJURY REQESTED_BY  The properties of each class are: InsuredPerson: label AccidentLocation IDNumber Occupation DateOfBIrth InjuryType AccidentDate Gender Nationality  InsuredPerson nodes are: Sarah Gina Michael Joey Cindy... SalesPerson nodes are: Sales Mike Sales Tim Sales Sarah... PolicyHolder nodes are: Sarah Gina Michael Mike Joey... Claims nodes are: Accidental Medical Accidental Death... Hospital nodes are: Chang Gung Memorial Hospital Datong Hospital United Hospital Nantou Hospital Ministry of Health and Welfare... Doctor nodes are: Dr.Robin Dr.Louie Dr.Annie... InjuryType nodes are: Acute Bronchitis Fracture Acute Bronchitis Sprain Food Poisoning...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: select, method: by property, relation:'', class: InsuredPerson, subject:'', node: '',property: 'DateOfBIrth: >2000 Gender: female'
Select the insured person who are female and have a date of birth after 2000 and before 2015,The classes of the nodes are: InsuredPerson SalesPerson PolicyHolder Claims Hospital Doctor InjuryType   The list of relationships are: SOLD_INSURANCE_TO PURCHASE_POLICY_FOR DIAGNOSED_BY WORKS_FOR HAS_AN_INJURY REQESTED_BY  The properties of each class are: InsuredPerson: label AccidentLocation IDNumber Occupation DateOfBIrth InjuryType AccidentDate Gender Nationality  InsuredPerson nodes are: Sarah Gina Michael Joey Cindy... SalesPerson nodes are: Sales Mike Sales Tim Sales Sarah... PolicyHolder nodes are: Sarah Gina Michael Mike Joey... Claims nodes are: Accidental Medical Accidental Death... Hospital nodes are: Chang Gung Memorial Hospital Datong Hospital United Hospital Nantou Hospital Ministry of Health and Welfare... Doctor nodes are: Dr.Robin Dr.Louie Dr.Annie... InjuryType nodes are: Acute Bronchitis Fracture Acute Bronchitis Sprain Food Poisoning...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: select, method: by property, relation:'', class: InsuredPerson, subject:'', node: '',property: 'DateOfBIrth: !2000~2015 Gender: female'
Unselect the insured person who are female and have a date of birth between 2000 and 2015,The classes of the nodes are: InsuredPerson SalesPerson PolicyHolder Claims Hospital Doctor InjuryType   The list of relationships are: SOLD_INSURANCE_TO PURCHASE_POLICY_FOR DIAGNOSED_BY WORKS_FOR HAS_AN_INJURY REQESTED_BY  The properties of each class are: InsuredPerson: label AccidentLocation IDNumber Occupation DateOfBIrth InjuryType AccidentDate Gender Nationality  InsuredPerson nodes are: Sarah Gina Michael Joey Cindy... SalesPerson nodes are: Sales Mike Sales Tim Sales Sarah... PolicyHolder nodes are: Sarah Gina Michael Mike Joey... Claims nodes are: Accidental Medical Accidental Death... Hospital nodes are: Chang Gung Memorial Hospital Datong Hospital United Hospital Nantou Hospital Ministry of Health and Welfare... Doctor nodes are: Dr.Robin Dr.Louie Dr.Annie... InjuryType nodes are: Acute Bronchitis Fracture Acute Bronchitis Sprain Food Poisoning...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: unselect, method: by property, relation:'', class: InsuredPerson, subject:'', node: '',property: 'DateOfBIrth: <2000~2015 Gender: female'
Drop the selected,The classes of the nodes are: InsuredPerson SalesPerson PolicyHolder Claims Hospital Doctor InjuryType   The list of relationships are: SOLD_INSURANCE_TO PURCHASE_POLICY_FOR DIAGNOSED_BY WORKS_FOR HAS_AN_INJURY REQESTED_BY  The properties of each class are: InsuredPerson: label AccidentLocation IDNumber Occupation DateOfBIrth InjuryType AccidentDate Gender Nationality  InsuredPerson nodes are: Sarah Gina Michael Joey Cindy... SalesPerson nodes are: Sales Mike Sales Tim Sales Sarah... PolicyHolder nodes are: Sarah Gina Michael Mike Joey... Claims nodes are: Accidental Medical Accidental Death... Hospital nodes are: Chang Gung Memorial Hospital Datong Hospital United Hospital Nantou Hospital Ministry of Health and Welfare... Doctor nodes are: Dr.Robin Dr.Louie Dr.Annie... InjuryType nodes are: Acute Bronchitis Fracture Acute Bronchitis Sprain Food Poisoning...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: remove, method: by selected, relation:'', class: '', subject:'', node: '', property:''
Salespeople that start with 'j',The classes of the nodes are: InsuredPerson SalesPerson PolicyHolder Claims Hospital Doctor InjuryType   The list of relationships are: SOLD_INSURANCE_TO PURCHASE_POLICY_FOR DIAGNOSED_BY WORKS_FOR HAS_AN_INJURY REQESTED_BY  The properties of each class are: InsuredPerson: label AccidentLocation IDNumber Occupation DateOfBIrth InjuryType AccidentDate Gender Nationality  InsuredPerson nodes are: Sarah Gina Michael Joey Cindy... SalesPerson nodes are: Sales Mike Sales Tim Sales Sarah... PolicyHolder nodes are: Sarah Gina Michael Mike Joey... Claims nodes are: Accidental Medical Accidental Death... Hospital nodes are: Chang Gung Memorial Hospital Datong Hospital United Hospital Nantou Hospital Ministry of Health and Welfare... Doctor nodes are: Dr.Robin Dr.Louie Dr.Annie... InjuryType nodes are: Acute Bronchitis Fracture Acute Bronchitis Sprain Food Poisoning...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by node, relation:'', class: SALESPERSON, subject:'', node: 'j*', property:''
Zoom in to the right area,The classes of the nodes are: InsuredPerson SalesPerson PolicyHolder Claims Hospital Doctor InjuryType   The list of relationships are: SOLD_INSURANCE_TO PURCHASE_POLICY_FOR DIAGNOSED_BY WORKS_FOR HAS_AN_INJURY REQESTED_BY  The properties of each class are: InsuredPerson: label AccidentLocation IDNumber Occupation DateOfBIrth InjuryType AccidentDate Gender Nationality  InsuredPerson nodes are: Sarah Gina Michael Joey Cindy... SalesPerson nodes are: Sales Mike Sales Tim Sales Sarah... PolicyHolder nodes are: Sarah Gina Michael Mike Joey... Claims nodes are: Accidental Medical Accidental Death... Hospital nodes are: Chang Gung Memorial Hospital Datong Hospital United Hospital Nantou Hospital Ministry of Health and Welfare... Doctor nodes are: Dr.Robin Dr.Louie Dr.Annie... InjuryType nodes are: Acute Bronchitis Fracture Acute Bronchitis Sprain Food Poisoning...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: not supported, method: '', relation:'', class: '', subject:'', node: '', property:''
Malwares,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by class, relation:'', class: Malware, subject:'', node: '', property:''
All viruses,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by class, relation:'', classes: virus, subject:'', node: '', property:''
The ip addresses which are infected by the Mirai.Botnet,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by relation, relation: INFECTED, class: '', subject: Mirai.Botnet, node: '', property:''
The malware which spread by 30.159.238.118,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by relation, relation: SPREAD_MALWARE, class: '',subject: 30.159.238.118, node: '', property:''
Select the malware which spread by 40.169.121.88,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: select, method: by relation, relation: SPREAD_MALWARE, class: '',subject: 40.169.121.88, node: '', property:''
Select the ip addresses that accresses this ip address 4.157.169.140,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: select, method: by relation, relation: ACCESSES, class: '',subject: 4.157.169.140, node: '', property:''
Load the attack that attacked this ip address 253.79.5.1,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by relation, relation: ATTACKED_BY, class: '',subject: 253.79.5.1, node: '', property:''
Select the attack that attacked this ip address 253.79.5.1,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: select, method: by relation, relation: ATTACKED_BY, class: '',subject: 253.79.5.1, node: '', property:''
Select what attack detected by 127.0.01,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: Select, method: by relation, relation: DETECTED, class: '',subject: 127.0.01, node: '', property:''
Load all ip addresses that controled by AzorUlt,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: Select, method: by relation, relation: CONTROLS, class: '', subject: AzorUlt, node: '', property:''
Nodes that are connected to Sora.Botnet,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by node, relation:'', class: '', subject:'', node: Sora.Botnet, property:''
Select nodes that has relations with Mirai.Botnet,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: select, method: by node, relation:'', class: '', subject:'', node: Mirai.Botnet, property:''
Nodes that are connected to Mirai.Botnet,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by node, relation:'', class: '', subject:'', node: Mirai.Botnet, property:''
Select nodes that are not connected to Zeroaccess.Botnet,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: select, method: by node, relation:'', class: '', subject:'', node: !Zeroaccess.Botnet, property:''
Drop the nodes with the label 1.0.131.30,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: remove, method: by node, relation:'', class: '', subject:'',node: 1.0.131.30, property:''
Select the attacks that used TCP attack,The classes of the nodes are: Malware Botnet Fortinet IPAddr Destination Source Attack IPS_Event virus C2   The relationships between the classes are: Malware INFECTED IPAddr IPAddr SPREAD_MALWARE Malware IPAddr ACCESSES IPAddr IPAddr ATTACKED_BY Attack IPAddr DETECTED Attack IPAddr COMMANDS virus virus CONTROLS IPAddr IPAddr CALL_BACK IPAddr   The properties of each class are: Malware: label app label attack label Botnet: label app Fortinet: label app label attack label IPAddr: label dstip label srcip label Destination: label dstip label dstip label Source: label srcip label srcip label Attack: label attack IPS_Event: label attack virus: label virus C2: label virus  Malware nodes are: Mirai.Botnet Sora.Botnet Zeroaccess.Botnet  Sources nodes are: 1.0.131.30 1.0.134.248 1.0.214.163 1.0.215.77 193.29.13.17  IPAddr nodes are: 30.159.238.118 253.79.5.1 40.169.121.88 4.157.169.140 127.0.01  Botnet nodes are: Pushdo.Botnet Mariposa.Botnet Zeroaccess.Botnet Sality.Botnet  virus nodes are: Downloader.Pony AndroidRedAlert AzorUlt Nitol   The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: select, method: by property, relation:'', class: Attack, subject:'', node: '', property: 'attack: TCP'
